,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
Just Climate,TG 2 ($500M+),,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M)","Impact/ESG,Agritech",,$70M,$50M,$200M,"Siddarth Shrikanth,Simmi Sharma",Continuum Wind Energy,https://www.justclimate.com/,"BLR,London",,,"*Established by Generation Investment Management, a FS & IM firm founded in 2004 by ex-USA VP (Al Gore) & ex-Goldman AMC head (David Blood). 
*$1.5 Bn inaugural fund, with focus on climate and net-zero carbon themes. Backed by Microsoft Climate Innovation Fund.
*$50-100m cheques typically. Latest $150m in Continuum Energy. Rarely do software.
*""Impact"" tied to employees' carry, so high focus compared to other funds",14-10-24 | Just Climate,10-04-24 | Just Climate?Niqo Robotics (Tartan Sense),checked,checked,checked,,,Medium,"Impact/ESG,Agritech"
K5 Global,,,,"Seed,""Early (A,B)""",,,,,,Nikhil Krishnan," Lime, MoonPay, Alchemy",,,,,,,,,,,,Active,,
Kae Capital,,,Venture Capital,Seed,,,,,,"Navin Honagudi,Sasha Mirchandani,Abhishek Srivastava","Qubecell,Batchcar,Paletly,Shephertz",,,,,,,"04-05-23 | Kae Capital?Rocketium,02-03-24 | Kae Capital?Pico Xpress,02-03-24 | Kae Capital?Scribble Data",,,,"?Qubecell, ?Batchcar, ?Paletly, ?Shephertz",,,
Kaiser Permanante,TG 1 ($100-500M),,Corporate BSheet,"""Mid (B,C)"",""Growth (C,D)""","Healthcare & Lifesciences,Consumer",,,,,Greg Adams,"Spinny,Udaan,Zepto",https://healthy.kaiserpermanente.org/front-door,California,,,"Large healthcare NPO in the US.
Invests in consumer and healthcare. Has a separate VC arm too KPV. ",,,,,,"?Spinny, Udaan?LoveLocal, Zepto?Dunzo",Active,,
Kaizen PE,,,,"""Early (A,B)""",,,,,,Raj Shastri,,,,,,,,,,,,,,,
Kaizenvest,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Gaurav Jain (Kaizenvest),Sandeep",LeverageEdu,,,,,,,,,,,LeverageEdu?Leverage.biz,,,
Kalaari,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Karthik Nageswaran,Darshit Vora,Rajesh Raju,Vani Kola,Keshav Lohia","Urban Ladder,Instamojo,Koo,Mettl,MilkBasket",,BLR,,,,18-09-24 | Kalaari,"19-09-22 | Kalaari?Fleek,19-09-22 | Kalaari?cAImera (Relove),19-09-22 | Kalaari?STAGE,19-09-22 | Kalaari?Zapkey,19-09-22 | Kalaari?Zapscale,19-09-22 | Kalaari?Zipy,27-10-24 | Kalaari?Pico Xpress",,,,"?Instamojo, ?Koo, ?Mettl, ?MilkBasket",,,
Kalaari Kstart,,,Venture Capital,Angel & Pre-Seed,,,,,,,,,BLR,,,,,,,,,,,,
Kalpavriksh Fund,,,Private Equity,,,,,,,,"BluSmart,The Ayurveda Experience, Transformative, The Label Life",,,,,,,,,,,,,,
Kanca Ventures,,,Venture Capital,Seed,,,,,,Dilara Kanca,Evo Foods,,,,,,,,,,,,,,
Karst Peak Capital,,,,,,,,,,," Treebo, Pharmaxis, CurveBeam AI",,,,,"From Slice Investor Tracker
",,,,,,,,,
Kataria Holdings,,,Venture Capital,,,,,,,Atul A. Patel,,,,,,,,,,,,,,,
KB Investment,TG 1 ($100-500M),,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Edtech & Upskilling,Supply chain & Logistics,RE & Infra,Industrials",,,,,Sang Yeop Kang,"Purplle,Slice,Cashify,Vedantu,ProcMart,Kuku FM,Spinny,PharmEasy",http://www.kbic.co.kr/main/index,Korea,,,"Large investment arm of KB Group, a financial conglomerate in Korea. $1.5bn+ AUM
focusses in consumer products, healthcare, IT, materials and clean tech sectors.",,,checked,,,"?Purplle, ?Slice, ?Cashify, Vedantu?Unacademy, ?Spinny",,,"Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Edtech & Upskilling,Supply chain & Logistics,RE & Infra"
KCT Group,,,Family Office,"""Early (A,B)""","Consumer,Software & Technology",,,,,," Burger Singh, Sunday Design",,,,,"Will not lead. FO of Thapar family, one of the largest coal logistics players in India. ",,,,,checked,,,,"Consumer,Software & Technology"
Kedaara Capital,"TG 1 ($100-500M),TG 2 ($500M+)",,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,BFSI & Fintech,Healthcare & Lifesciences,Supply chain & Logistics,Edtech & Upskilling,Software & Technology",,,$25M,$200M,"Nishant Sharma,Ashutosh Sardesai,Kshama Jain,Anant Gupta,Aashwit Mahajan,Manish Kejriwal,Sunish Sharma","Purplle,Lenskart,Avanse",https://kedaara.com/,BOM,,,One of the largest domestic PEs in India with $5-6Bn AUM,,,checked,,,?Purplle,,High,Diversified
KfW Capital,,,,,Healthcare & Lifesciences,,,,,,,,,,,"Private Capital by German bank
Partnership with Aavishkaar Capital, $250 M ESG first fund
",,,,,,,,,Healthcare & Lifesciences
Kharis,,,Venture Capital,,,,,,,,LivSpace,,,,, Investment model is about active partnerships and direct investment on a deal-by-deal basis,,,,,checked,,,,
Khazanah Nasional Berhad,TG 2 ($500M+),,Sovereign Entity,"Late Growth (>$500M),""Growth (C,D)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Industrials,Edtech & Upskilling,Supply chain & Logistics",,$40M,,,"Vishal Agarwal,Datuk Hisham Hamdan,Udit Gadia","Xpressbees,Flipkart,Wow Momos",https://www.khazanah.com.my/,Malaysia,,,Malaysia's sovereign wealth fund. US$ 400-500m per year in total commitments focused broadly on buyout and growth.,,,checked,,checked,,,,Diversified
Khosla Impact,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Sandhya Parameshwar Hegde,Rajesh Swaminathan","Branch, NeoGrowth, Milaap, numberz, Simpa Networks, Hippocampus, Lookup, Logistimo, Driptech India, Moksh Yug Access",,,,,,,,,,,,,,
Khosla Ventures,TG 1 ($100-500M),,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M),Seed,""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,Healthcare & Lifesciences,BFSI & Fintech,Impact/ESG,Agritech",RE & Infra,,$500K,$50M,"Evan Moore,Ryno Blignaut","Healthifyme,Healthify,Even,Cureskin",https://www.khoslaventures.com/,California,,,"Doesn't invest in RE, small business, growth cap, project financing; long innovation cycles; public cos.
Two diff funds:
- seed fund- supports innovation; preferably sole investor, may partner with angel investors or smaller funds
- main fund- supports traditional ventures; early to late stages; all areas of tech; >$7m round size
- opportunity fund- cos ready to scale (new or existing)",,,checked,,,"Healthifyme?Healthify, ?Healthify",,,Diversified
Kinnevik AB,TG 1 ($100-500M),,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M),""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Agritech,Impact/ESG",,$40M,,,"Akhil Chainwala,Natalie Tydeman","Saltside, Quikr",https://www.kinnevik.com/,"Europe (other),London",,,"Stockholm-based VC focusing primarily on healthcare, software, marketplaces, and climate tech.
No recent India investments; had invested in Quickr in 2014.",,,,,,,,,
Kirin Holdings,TG 1 ($100-500M),,Corporate BSheet,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""",Consumer,,$40M,,,"Takeshi Minakata,Yoshinori Isozaki",Bira 91,https://www.kirinholdings.com/en/,Japan,,,Large Japanese alcoholic beverage group estb. in 1907. Strategic investor in Bira from Series A/B days; Recently invested in Series D as well (2024).,,,checked,checked,,,,Low,Consumer
KKR,"TG 2 ($500M+),TG 3 (Pre-IPO)",,Private Equity,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Healthcare & Lifesciences,Software & Technology,Impact/ESG,EV & Mobility,BFSI & Fintech",,$70M,$50M,$200M,"Mayank Mishra,Prashant Kumar,Ankit Aggarwal,Mukul Chawla,Gaurav Trehan,Somwrita Biswas,Keshav Thakkar,Akshay Tanna","Lenskart,Livspace",https://www.kkr.com/,"BOM,DEL,NYC",,,"Pre IPO in SBI Life
Global investment firm specialising in PE, credit, and real assets, with AUM approx $553 billion.","09-02-22 | KKR,09-09-21 | KKR","24-02-22 | KKR?Euler Motors,02-04-22 | KKR?BeatO,02-04-22 | KKR?Medfin,02-04-22 | KKR?THB,02-04-22 | KKR?Tricog,04-04-22 | KKR?Ultrahuman,09-08-22 | KKR?Exotel,05-05-23 | KKR?THB,09-05-23 | KKR?THB,26-08-24 | KKR?BatterySmart,28-02-24 | KKR?Classplus,28-02-24 | KKR?Smallcase,28-02-24 | KKR?Zopper",checked,,checked,,,,Diversified
KKR - Asia Tech Fund,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","BFSI & Fintech,Software & Technology,Consumer",,$50M,,,Mukul Chawla,"Lenskart,Livspace",https://www.kkr.com/invest/private-equity/tech-growth,SIN,,,"* Karthik knows Mukul well since early Blume days
* Temasek veteran for over a decade on their global tech portfolio out of the US. Got a chance to run a stand alone Tech fund for KKR, moved to S'pore to run it.
* Wide mandate - Aus, Japan, Korea, China, S E Asia and India
* $600+ mill fund, with max India and few China LPs. 10-11 investments overall.
* Prefers the fintech product use cases over any BGV led growth / acquisitions
* Classic PE thinker / wants both ""unique"" and value ",26-04-24 | KKR - Asia Tech Fund,,checked,,checked,,,Medium,"BFSI & Fintech,Software & Technology,Consumer"
Kleiner Perkins,TG 2 ($500M+),,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,BFSI & Fintech,Software & Technology,Healthcare & Lifesciences",,,,,"Nadia Cochinwala,Aditya Naganath","Infoedge Ventures (50%),Cleartrip",https://www.kleinerperkins.com/,USA (other),,,"Renowned Silicon Valley VC focuses on seed, early-stage, and growth investments in technology, life sciences, and clean energy sectors?.",,,checked,,,,,,Diversified
Kodak Venture Group,,,Corporate VC,,,,,,,,,,,,,,,,,,,,,,
Kodem Growth Partners,,,,,,,,,,," Edgybees, Vector, MorphiSec, PlanetiQ",,,,,,,,,,,,,,
Konglo Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Vinod Jose," Aisle,Seekho, Explara",,,,,"Leading Angel Network from Kerala
",,,,,,,,,
Kora Capital,"TG 2 ($500M+),TG 3 (Pre-IPO)",,Crossover,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","BFSI & Fintech,Consumer,Software & Technology",,,$15M,$70M,"Nitin Saigal,Daniel Jacobs","Dealshare,Udaan,Zomato",https://koracap.com/,NYC,,,"$1.2bn AUM; focussed on emerging markets in internet and financial services.?
Pre-IPO deals - Zomato",,"19-05-21 | Kora Capital?Purplle,19-05-21 | Kora Capital?Grey Orange,19-05-21 | Kora Capital?Locus,19-05-21 | Kora Capital?Servify,19-05-21 | Kora Capital?Spinny",checked,,checked,"Udaan?LoveLocal, Zomato?Dunzo",,,"BFSI & Fintech,Consumer,Software & Technology"
Korea Investment Partners,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,,Cash Karo,,Korea,,,"Large VC with $4Bn+ AUM across 58 funds. Subsidiary of Korea Holdings, a large financial conglomerate with VC/PE arms.
No other available, apart from their $10M round in CashKaro alongside Kalaari.  ",,,checked,,,,,,
Korean LPs,,,Venture Capital,"""Early (A,B)""",,,,,,Tonmoy Shingal,,,,,,,,"15-11-21 | Korean LPs?Procol,15-11-21 | Korean LPs?Leverage.biz,15-11-21 | Korean LPs?Ati Motors,15-11-21 | Korean LPs?Kaleidofin,15-11-21 | Korean LPs?SmartStaff",,,,,,,
Kotak - Special Situations Strategy,TG 2 ($500M+),,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,BFSI & Fintech,Supply chain & Logistics,Industrials",,$100M,$50M,$150M,"Rahul Shah,Nidhi Chawla","Biocon,DCW","https://www.kotakalternateasset.com/strategic-situations-fund/#:~:text=The%20Kotak%20Strategic%20Situation%20Fund,that%20tap%20into%20unique%20opportunities.",,,,"Mix of debt & equity. Focus on traditional businesses and new-age tech (like data centers). In practice sector-agnostic.
Target 20% target IRR with downside protection.",30-08-24 | Kotak - Special Situations Strategy,,checked,,checked,,Active,,Diversified
Kotak (Proprietary / Corp. Dev),TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)""","BFSI & Fintech,Software & Technology",,$1-2M,$1M,$2M,"Akshita Baheti,Deepanshu Gupta,Shripal Shah","Multipl,BankSathi",https://www.kotak.com/en/corporate/sector-expertise.html,BOM,,,"7-10 crore per investment, key focus area being FinTech. Will Not lead.","16-11-21 | Kotak (Proprietary / Corp. Dev),10-12-24 | Kotak (Proprietary / Corp. Dev)",16-11-21 | Kotak (Proprietary / Corp. Dev)?HealthAssure,,,checked,?Multipl,,,"BFSI & Fintech,Software & Technology"
Kotak Alternate Assets,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,BFSI & Fintech,Edtech & Upskilling,EV & Mobility,Healthcare & Lifesciences,Supply chain & Logistics,Impact/ESG,Agritech,RE & Infra",Retail,$30M,$20M,$100M,"Nidhi Chawla,Dhiraj Rajendran,Suyash Poddar","Medfin,BeatO",https://www.kotakalternateasset.com/,BOM,,,"Several thesis-specific vehicles, including:
1. Pre-IPO Funds: INR 2000 cr fund I, fully deployed & in exits mode. Raising Fund II now, based in GIFT.
2. Healthcare PE: 2nd fund currently deploying. Like early-stage health-tech & life sciences businesses with a strong IP driver.
3. Proprietary book (Balance sheet) investments: Alignment with Kotak's key businesses, so mainly BFSI cos
4. Special Situations Fund: Mix of debt (19% IRR) and equity. $20-30m cheques will be too small for them (re Slice)
5. Infra fund: Keen on EV themes currently
6. Buyout fund: Raising now ","21-04-22 | Kotak Alternate Assets,09-08-24 | Kotak Alternate Assets","22-04-22 | Kotak Alternate Assets?Healthify,25-04-22 | Kotak Alternate Assets?Slice,28-02-24 | Kotak Alternate Assets?Cashify,28-02-24 | Kotak Alternate Assets?GreytHR,28-02-24 | Kotak Alternate Assets?Leverage.biz",checked,,checked,"?Medfin, ?BeatO",,Medium,"Consumer,Software & Technology,BFSI & Fintech,Edtech & Upskilling,EV & Mobility,Healthcare & Lifesciences,Supply chain & Logistics,Impact/ESG,Agritech,RE & Infra"
Kotak Pre-IPO Fund,"TG 2 ($500M+),TG 3 (Pre-IPO)",,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,BFSI & Fintech,Software & Technology",,,,,Nidhi Chawla,"DailyHunt,PharmEasy,Pine Labs,Nykaa,Policybazaar",https://www.kotakalternateasset.com/,BOM,,,"Managed by Kotak Investment Advisors, an AIF established to invest in late-stage, tech-driven Indian cos. approaching their IPOs.
successfully raised ?2,000 crore",,,checked,,checked,"Nykaa?Purplle, Policybazaar?Turtlemint, Zopper",Active,,"Consumer,BFSI & Fintech,Software & Technology"
Krafton (PUBG game),TG 1 ($100-500M),,Corporate VC,"Seed,""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,BFSI & Fintech",,,,,"Nikita Makhija,Mibu Jonghyuk Kim",Kuku FM,https://krafton.com/en/,Korea,,,"Corporate VC arm of PUBG game owners - Krafton. Invest primary in early-stage consumer, gaming, mobile-based apps.",,,,,,,,,"Consumer,Software & Technology,BFSI & Fintech"
KTB Private Equity,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Industrials,Software & Technology",,,,,"Song Sanghyon,Dongil Jeong",Blinkit,http://www.ktbpe.co.kr/,Korea,,,"Amongst the earliest PE players in Korea (+financial group), focussing on growth/buyout strategies in MSME companies.
core areas: Industrial, retail and branded consumer sectors",,,checked,,,,,,
Kube VC,,,Venture Capital,"""Early (A,B)""",,,,,,,Futwork,,,,,,,,,,,?Futwork,,,
Kuliza,,,,,,,,,,,,,,,,,,,,,,,,,
L Catterton,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Healthcare & Lifesciences,Software & Technology,BFSI & Fintech",,,$25M,$150M,"Rahul Garg,Anjana Sasidharan","SUGAR Cosmetics,Drools",https://www.lcatterton.com/,"USA (other),BOM,SIN",,,"World's leading consumer growth investor/ PE group with $34bn AUM. 
L Catterton Asia invests $25 - 150M mainly in middle market growth companies across Asia.
Invests across consumer services, pets, fitness, disruptive consumer tech, consumer health, fashion, beauty, f&b, travel, digitally-native & specialty retail, restaurants and media & marketing services.",,13-06-23 | L Catterton?Intrcity,checked,,checked,,,,"Consumer,Healthcare & Lifesciences,Software & Technology,BFSI & Fintech"
L&T Ventures,,,,,,,,,,Rajkamal Agarwal,,,,,,,01-09-22 | L&T Ventures,,,,,,,,
Lake Star Partners,,,,,,,,,,Manu Gupta,,,,,,,,,,,,,,,
Landmark Group,,,Family Office,,,,,,,,Pitstop,,,,,,,,,,,Pitstop?Autoverse,,,
Lathe Investment,,,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,Supply chain & Logistics,Software & Technology",,,,,,"Swiggy,Paperboat",https://www.gic.com.sg/,SIN,,,"Operates as a wholly owned subsidiary of GIC, Singapore's sovereign wealth fund. 
An investment holding entity. Minimal info.",,,,,,Swiggy?Dunzo,Active,,
Lead Angels,,,Super Angel or Angel Fund,"Seed,Angel & Pre-Seed",,,,,,Sushanto Mitra," DriveU, Dhruva Space, Fyllo, Enrich",,,,,,,,,,,,,,
Lead Edge Capital,TG 2 ($500M+),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets",Software & Technology,,,$25M,$300M,Mitchell Green,Gupshup,https://leadedge.com/,"NYC,California",,,"Growth equity firm with $5bn in AUM investing in software, internet, and tech-enabled businesses with $10m+ revenue.
Focus on making minority and buyout investments for providing capital for growth, M&A, and liquidity for shareholders.
",,,checked,,,Gupshup?Exotel,,,
Leapfrog Investments,TG 1 ($100-500M),,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""","BFSI & Fintech,Agritech,Healthcare & Lifesciences,Impact/ESG,Consumer,EV & Mobility",,,,,"Fernanda Lima,Michael Fernandes,Biju Mohandas,Nakul Zaveri,Jackson Chiam,Nimish Desai","Healthifyme,CarDekho,Northern Arc,BatterySmart,Healthify,Redcliffe Labs",https://leapfroginvest.com/,SIN,,,"Large global impact-fund with focus on financial services & healthcare.
Temasek is a major anchor investor, along with IFC, EIB, Prudential, Morgan Stanley, JPMC, Rockefeller, AIG, AXA, FMO, etc.",,"31-08-21 | Leapfrog Investments?Medfin,31-08-21 | Leapfrog Investments?BeatO,28-02-24 | Leapfrog Investments?Intrcity,28-02-24 | Leapfrog Investments?Stellapps",checked,checked,checked,"Healthifyme?Healthify, CarDekho?Spinny, ?BatterySmart, ?Healthify",,High,Diversified
Learn Capital,,,Venture Capital,"Seed,""Early (A,B)""","Edtech & Upskilling,Consumer,Software & Technology",,,,,"Susan Wang,Vinit Sukhija",Teachmint,,,,,"Back rapidly scaling tech enabled companies that tackle world biggest human centred problems

",,,,,,,,,
Left Lane,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","Software & Technology,BFSI & Fintech,Edtech & Upskilling,Healthcare & Lifesciences,Consumer,Supply chain & Logistics",,$20M,$5M,$50M,"Vinny Pujji,Rachel Schow,Arjun Kapur","Astrotalk,Good Health Company",https://www.leftlane.com/,"NYC,London",,,"* Left Lane was spun out of Insight Partners by some folks including Vinny (who in his Insight avatar had picked Chargebee as one of his bets which has done v well since) 
* Arjun has been travelling a lot more to India and is the guy who does the ground work / recce etc 
* Vinny came earlier this year for the first time since the pandemic (recently became a dad in 2022) 
* They will do early ($5 mill) to late ($60 mill) 
* In India, however, they seem to be more focussed on entering at valuations in the $50-$250 mill range - very rarely will they go beyond that in either direction 
* They want to be concentrated in portfolio, 15-20 positions and close to the founders / company 
* Don't expect to do more than 2 a year in India (so, v selective, like most overseas players - lots of noise, v little action / closure) 
* Only 2 India investments, made recently - Astrotalk and a SaaS play ($5-6mill rev, NCR based, AI applied to photos / sold to photographers - mostly bootstrapped / profitable)",17-05-24 | Left Lane,"10-08-21 | Left Lane?Squadstack,08-10-21 | Left Lane?Healthify,02-04-22 | Left Lane?Alippo,02-04-22 | Left Lane?Glamplus,02-04-22 | Left Lane?Instamojo,02-04-22 | Left Lane?Scribble Data,02-04-22 | Left Lane?STAGE,02-04-22 | Left Lane?Stage3,02-04-22 | Left Lane?Tricog,02-04-22 | Left Lane?Unocoin,02-04-22 | Left Lane?Uolo,02-04-22 | Left Lane?Zipy,19-09-22 | Left Lane?Alippo,04-04-23 | Left Lane?Rocketium,29-01-24 | Left Lane?ElectricPe,30-01-24 | Left Lane?Aerem,20-05-24 | Left Lane?Aerem,10-10-24 | Left Lane?Freakins",checked,,checked,,,High,"Software & Technology,BFSI & Fintech,Edtech & Upskilling,Healthcare & Lifesciences,Consumer,Supply chain & Logistics"
Leo Capital,,,Venture Capital,Seed,,,,,,"Rajul Garg,Jitesh Luthra,Ravi Srivastava,Shwetank Verma","BeatO,HealthAssure,Lambdatest",,,,,,,,,,,"?BeatO, ?HealthAssure, ?Lambdatest",,,
Lerner Family,,,Family Office,"""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
Lets Venture,,,,"""Early (A,B)""",,,,,,Shanti Mohan,Wedding Brigade,,,,,,,,,,,?Wedding Brigade,,,
Lewis & Clark,,,,"Seed,""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
LG Technology Ventures,,,Corporate VC,"""Early (A,B)""","Software & Technology,Consumer,Healthcare & Lifesciences,EV & Mobility",,,,,,,,California,,,"CVC arm of LG Group, founded in 2018 and manages $400M AUM.
Invests in early-stage tech cos. 
Unable to find any India investments so far.",,,,,,,,,"Software & Technology,Consumer,Healthcare & Lifesciences,EV & Mobility"
Lightbox VC,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",""Early (A,B)""","Consumer,Software & Technology,Supply chain & Logistics,Edtech & Upskilling,Healthcare & Lifesciences,EV & Mobility,BFSI & Fintech",,,,,"Sandeep Murthy,Varun Varma,Akshat Jain","Droom,Dunzo,WayCool,Rebel Foods",https://www.lightbox.vc/,BOM,,,"mostly done series A&B investments, tech-enabled consumer businesses in India.
$400mn+ AUM",,"26-07-21 | Lightbox VC?Cashify,26-07-21 | Lightbox VC?Medfin,31-08-21 | Lightbox VC?BHIVE Workspace,31-08-21 | Lightbox VC?Podium,31-08-21 | Lightbox VC?SmartStaff,17-09-21 | Lightbox VC?Superset,07-01-22 | Lightbox VC?STAGE,23-03-22 | Lightbox VC?Alippo,23-03-22 | Lightbox VC?Apnaklub,23-03-22 | Lightbox VC?BatterySmart,23-03-22 | Lightbox VC?Uolo,02-04-22 | Lightbox VC?Aerem,02-04-22 | Lightbox VC?ElectricPe,02-04-22 | Lightbox VC?Kaleidofin,02-04-22 | Lightbox VC?STAGE,19-05-22 | Lightbox VC?Bureau,19-09-22 | Lightbox VC?Alippo,19-09-22 | Lightbox VC?ChefKart,19-09-22 | Lightbox VC?Fleek,19-09-22 | Lightbox VC?Living Food,19-09-22 | Lightbox VC?Multipl,19-09-22 | Lightbox VC?TrueFan,19-09-22 | Lightbox VC?Zapkey,19-09-22 | Lightbox VC?BlueCopa,19-09-22 | Lightbox VC?Scenes",,,checked,"Droom?Spinny, ?Dunzo",,,Diversified
Lighthouse Canton,,,Venture Debt,"""Early (A,B)""",,,,,,"Ankit Agrawal,Anshul Jain",,,,,,,,,,,,,,,
Lighthouse Funds,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Healthcare & Lifesciences,Agritech,Edtech & Upskilling,Supply chain & Logistics",,$50M,$30M,$100M,"Sachin Bhartiya,Mukund Krishnaswami,Vivek Kumar","Bikaji,Nykaa,Duroflex,Kama Ayurveda,Medikabazaar,Ferns N Petals",https://www.lhfunds.com/,BOM,,,"Domestic PE started in 2007, focussed on Consumer (60-70%) and Healthcare (20-30%) themes; Occasionally do industrials and logistics. $1.5B AUM across 4 funds. 
Growth stage investments in stable companies (okay with medium growth), minimal venture risk, flexible with stake (<40%) or primary/secondary (to an extent)",19-11-24 | Lighthouse Funds,,checked,,checked,Nykaa?Purplle,,High,"Consumer,Healthcare & Lifesciences,Agritech,Edtech & Upskilling,Supply chain & Logistics"
Lightrock,TG 1 ($100-500M),,Private Equity,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Impact/ESG,Edtech & Upskilling,BFSI & Fintech,Software & Technology,EV & Mobility,Agritech,Healthcare & Lifesciences,Supply chain & Logistics,Consumer",,,,,"Tejasvi Ravi,Kartik Srivatsa,Divya Venkatavaraghavan,Saleem Asaria,Vaidhehi Ravindran,Kushal Agrawal,Praviskha Mehrotra","DeHaat,Porter,Chalo,CredAvenue,Capital Float,Aye Finance,Smartcoin,Dunzo,BeatO,Cuemath,Classklap,K12,Eupheus Learning,Medibuddy,Shiprocket,Vivriti Capital,Yubi (Credavenue),WayCool",https://www.lightrock.com/,"London,BLR",,,"Impact fund backed by Liechtenstein's royal family. Focus on people, planet, productivity themes. ","20-09-24 | Lightrock,20-09-24 | Lightrock","15-03-22 | Lightrock?Squadstack,19-09-22 | Lightrock?Scenes,19-09-22 | Lightrock?Zipy,27-07-23 | Lightrock?Virohan,03-08-23 | Lightrock?Niqo Robotics (Tartan Sense),27-08-24 | Lightrock?Aerem,20-09-24 | Lightrock?Ati Motors,28-02-24 | Lightrock?Aerem,28-02-24 | Lightrock?Aerem,28-02-24 | Lightrock?BatterySmart,28-02-24 | Lightrock?HealthAssure,28-02-24 | Lightrock?SmartStaff,28-02-24 | Lightrock?Tricog",checked,checked,checked,"DeHaat?Jai Kisan, Chalo?Intrcity, Capital Float?Slice, ?Dunzo, ?BeatO, Cuemath?Unacademy, Classklap?Classplus, K12?Classplus, Eupheus Learning?Classplus",,High,Diversified
Lightsmith,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)""","Agritech,Impact/ESG,Healthcare & Lifesciences,EV & Mobility",,$10M,$10M,$20M,"Subbu Pichappan,Sanjay Wagle",WayCool,https://lightsmithgp.com/,"NYC,SFO",,,"We are actively looking to invest in India via roughly $10M-$25M equity check sizes for minority stakes. Our key focus sectors are agritech, food, supply chain, climate change, ESG, weather adaptation, and healthcare.",,"18-04-22 | Lightsmith?THB,18-04-22 | Lightsmith?Intrcity,18-04-22 | Lightsmith?Carbon Clean",,,checked,,,,"Agritech,Impact/ESG,Healthcare & Lifesciences,EV & Mobility"
